MaSV;HoTen;NgaySinh;GioiTinh;DiaChi;SoDienThoai;Email;MaLop;TrangThai
SV0001;Nguyễn Văn An;12/03/2003;Nam;Hà Nội;0912345601;an.nguyen01@gmail.com;PRN212;Đang học
SV0002;Trần Thị Bích;25/07/2003;Nữ;Hồ Chí Minh;0912345602;bich.tran02@gmail.com;PRN212;Đang học
SV0003;Lê Văn Cường;08/11/2002;Nam;Đà Nẵng;0912345603;cuong.le03@gmail.com;PRN212;Đang học
SV0004;Phạm Thị Dung;14/01/2003;Nữ;Hải Phòng;0912345604;dung.pham04@gmail.com;PRN212;Đang học
SV0005;Hoàng Văn Đức;30/05/2003;Nam;Cần Thơ;0912345605;duc.hoang05@gmail.com;PRN212;Đang học
SV0006;Vũ Thị Hoa;19/09/2002;Nữ;Hà Nội;0912345606;hoa.vu06@gmail.com;PRN212;Đang học
SV0007;Đặng Văn Hùng;02/12/2003;Nam;Nghệ An;0912345607;hung.dang07@gmail.com;PRN212;Đang học
SV0008;Bùi Thị Lan;27/04/2003;Nữ;Thanh Hóa;0912345608;lan.bui08@gmail.com;PRN212;Đang học
SV0009;Ngô Văn Long;16/06/2002;Nam;Hồ Chí Minh;0912345609;long.ngo09@gmail.com;PRN212;Đang học
SV0010;Đỗ Thị Mai;05/02/2003;Nữ;Hà Nội;0912345610;mai.do10@gmail.com;PRN212;Đang học
SV0011;Phan Văn Nam;21/08/2003;Nam;Huế;0912345611;nam.phan11@gmail.com;PRN212;Đang học
SV0012;Trịnh Thị Ngọc;10/10/2002;Nữ;Quảng Ninh;0912345612;ngoc.trinh12@gmail.com;PRN212;Đang học
SV0013;Lý Văn Phát;03/03/2003;Nam;Bình Dương;0912345613;phat.ly13@gmail.com;PRN212;Đang học
SV0014;Dương Thị Quỳnh;28/11/2003;Nữ;Đồng Nai;0912345614;quynh.duong14@gmail.com;PRN212;Đang học
SV0015;Mai Văn Sơn;17/07/2002;Nam;Hải Dương;0912345615;son.mai15@gmail.com;PRN212;Đang học
SV0016;Tô Thị Thảo;09/09/2003;Nữ;Nam Định;0912345616;thao.to16@gmail.com;PRN212;Đang học
SV0017;Chu Văn Tài;22/01/2003;Nam;Hà Nội;0912345617;tai.chu17@gmail.com;PRN212;Đang học
SV0018;Lâm Thị Thu;13/05/2002;Nữ;Hồ Chí Minh;0912345618;thu.lam18@gmail.com;PRN212;Đang học
SV0019;Đinh Văn Toàn;06/06/2003;Nam;Bắc Ninh;0912345619;toan.dinh19@gmail.com;PRN212;Đang học
SV0020;Hà Thị Trang;24/12/2003;Nữ;Vĩnh Phúc;0912345620;trang.ha20@gmail.com;PRN212;Đang học
SV0021;Vương Văn Tuấn;11/04/2002;Nam;Hưng Yên;0912345621;tuan.vuong21@gmail.com;PRN212;Đang học
SV0022;Cao Thị Uyên;29/02/2004;Nữ;Thái Bình;0912345622;uyen.cao22@gmail.com;PRN212;Đang học
SV0023;Kiều Văn Việt;15/10/2002;Nam;Hà Nội;0912345623;viet.kieu23@gmail.com;PRN212;Đang học
SV0024;Tăng Thị Vy;07/08/2003;Nữ;Đà Nẵng;0912345624;vy.tang24@gmail.com;PRN212;Đang học
SV0025;Lương Văn Xuân;20/03/2003;Nam;Hồ Chí Minh;0912345625;xuan.luong25@gmail.com;PRN212;Đang học
SV0026;Huỳnh Thị Yến;18/06/2002;Nữ;Cần Thơ;0912345626;yen.huynh26@gmail.com;PRN212;Đang học
SV0027;Đào Văn Bảo;04/09/2003;Nam;Hải Phòng;0912345627;bao.dao27@gmail.com;PRN212;Bảo lưu
SV0028;Nguyễn Thị Châu;23/11/2002;Nữ;Hà Nội;0912345628;chau.nguyen28@gmail.com;PRN212;Bảo lưu
SV0029;Trần Văn Đạt;31/01/2003;Nam;Bình Định;0912345629;dat.tran29@gmail.com;PRN212;Tốt nghiệp
SV0030;Lê Thị Giang;26/07/2001;Nữ;Khánh Hòa;0912345630;giang.le30@gmail.com;PRN212;Tốt nghiệp
